,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
6343,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 8}",1608,1848,1245
6344,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 9}",879,1388,805
6345,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9667,10201,9540
6346,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 2}",9161,9537,8824
6347,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 3}",6861,7596,5732
6348,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5289,5156,5026
6349,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4563,4074,4526
6350,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3427,2598,3032
6351,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 7}",2257,2590,1691
6352,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 8}",1649,1890,1264
6353,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 9}",912,1413,811
6354,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9665,10199,9526
6355,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 2}",9138,9533,8778
6356,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6828,7591,5727
6357,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5287,5149,5028
6358,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4544,4085,4528
6359,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3433,2596,3038
6360,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 7}",2259,2590,1685
6361,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 8}",1832,1927,1414
6362,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 9}",997,1475,879
6363,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9633,10089,9459
6364,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 2}",9171,9519,8715
6365,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 3}",6840,7549,5650
6366,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5087,5413,4796
6367,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4324,4113,4072
6368,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3211,3333,2874
6369,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 7}",1651,3366,1072
6370,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 8}",955,1532,766
6371,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 9}",628,1636,497
6372,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9633,10089,9459
6373,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 2}",9171,9519,8715
6374,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 3}",6840,7549,5650
6375,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 4}",5087,5413,4796
6376,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4324,4113,4072
6377,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3211,3333,2874
6378,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 7}",1651,3366,1072
6379,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 8}",955,1532,766
6380,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 9}",628,1636,497
6381,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9633,10089,9459
6382,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 2}",9171,9519,8715
6383,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 3}",6840,7549,5650
6384,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5087,5413,4796
6385,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4324,4113,4072
6386,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3211,3333,2874
6387,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 7}",1651,3366,1072
6388,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 8}",955,1532,766
6389,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 9}",628,1636,497
6390,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9633,10089,9459
6391,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 2}",9171,9519,8715
6392,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6840,7549,5650
6393,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 4}",5087,5413,4796
6394,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4324,4113,4072
6395,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3211,3333,2874
6396,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 7}",1651,3366,1072
6397,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 8}",955,1532,766
6398,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 9}",628,1636,497
6399,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9633,10089,9459
6400,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 2}",9171,9519,8715
6401,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6840,7549,5650
6402,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5087,5413,4796
6403,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4324,4113,4072
6404,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3211,3333,2874
6405,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 7}",1651,3366,1072
6406,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 8}",955,1532,766
6407,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 9}",628,1636,497
6408,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9633,10089,9459
6409,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 2}",9171,9519,8715
6410,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 3}",6840,7549,5650
6411,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5087,5413,4796
6412,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4324,4113,4072
6413,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3211,3333,2874
6414,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 7}",1651,3366,1072
6415,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 8}",955,1532,766
6416,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 9}",628,1636,497
6417,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9633,10089,9459
6418,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 2}",9171,9519,8715
6419,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6840,7549,5650
6420,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5087,5413,4796
6421,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4324,4113,4072
6422,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3211,3333,2874
6423,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 7}",1651,3366,1072
6424,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 8}",955,1532,766
6425,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 9}",628,1636,497
6426,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9743,10203,9608
6427,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",9391,9638,9064
6428,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",7177,7803,5969
6429,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5588,6181,5389
6430,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4767,4848,4763
6431,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3689,3742,3310
6432,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2844,3707,2543
